,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,wanning,18.8003,110.3967,89.65,62,14,11.97,CN,1622007319
181,ngorongoro,-3.2397,35.4875,52.92,79,96,6.33,TZ,1622007319
182,samalaeulu,,,,,,,,
183,kropotkin,45.4375,40.5756,66,77,14,4.29,RU,1622007145
184,aswan,24.0934,32.907,90.72,16,0,8.23,EG,1622007205
185,saleaula,,,,,,,,
186,mahebourg,-20.4081,57.7,79.25,94,40,0,MU,1622007320
187,mar del plata,-38.0023,-57.5575,50.09,67,0,8.01,AR,1622007320
188,balimo,,,,,,,,
189,soyo,-6.1349,12.3689,77.05,90,99,7.85,AO,1622007321
190,belo jardim,-8.3356,-36.4242,66.61,96,46,5.79,BR,1622007321
191,san patricio,28.017,-97.5169,80.69,92,21,9.33,US,1622007321
192,tomatlan,19.9333,-105.25,73.94,73,0,1.83,MX,1622007322
193,avarua,-21.2078,-159.775,80.65,83,20,4.61,CK,1622007322
194,gigmoto,13.7796,124.39,87.08,67,52,4.83,PH,1622007322
195,asau,46.4333,26.4,61.95,95,61,2.28,RO,1622007322
196,port-gentil,-0.7193,8.7815,80.56,89,75,12.66,GA,1622007323
197,esperance,-33.8667,121.9,64.24,52,71,8.01,AU,1622007323
198,torbay,47.6666,-52.7314,44.58,93,90,23.02,CA,1622007323
199,ilhabela,-23.7781,-45.3581,62.58,79,44,3.91,BR,1622007324
200,columbia,34.0007,-81.0348,76.21,85,57,0,US,1622007121
201,hobyo,5.3505,48.5268,82.15,68,79,20.87,SO,1622007324
202,corpus christi,27.8006,-97.3964,80.83,88,75,7,US,1622007133
203,svetlogorsk,52.6333,29.7333,56.03,97,98,12.03,BY,1622007325
204,komsomolskiy,40.4272,71.7189,83.62,26,93,2.3,UZ,1622007325
205,oktyabrskoye,43.0645,44.7417,53.74,94,90,4.12,RU,1622007325
206,garowe,8.4054,48.4845,80.83,53,57,24.07,SO,1622007326
207,longyearbyen,78.2186,15.6401,30.04,74,75,10.36,SJ,1622007326
208,livingston,55.9029,-3.5226,48.24,92,90,3.33,GB,1622007326
209,sioux lookout,50.1001,-91.917,50.07,93,90,23.02,CA,1622007133
210,maceio,-9.6658,-35.7353,74.64,94,40,11.95,BR,1622007327
211,fortuna,40.5982,-124.1573,53.33,65,90,5.99,US,1622007145
212,hervey bay,-25.2986,152.8535,75.31,59,1,3,AU,1622007327
213,grand gaube,-20.0064,57.6608,79.38,69,3,7,MU,1622007327
214,yerbogachen,61.2767,108.0108,49.33,32,100,6.67,RU,1622007328
215,hay river,60.8156,-115.7999,31.98,47,20,8.05,CA,1622007328
216,duzce,40.8389,31.1639,70.54,46,51,3.18,TR,1622007328
217,kruisfontein,-34.0033,24.7314,52.88,84,96,3.76,ZA,1622007329
218,arraial do cabo,-22.9661,-42.0278,67.57,68,61,5.55,BR,1622007329
219,adrar,20.5022,-10.0711,80.6,21,100,19.75,MR,1622007329
220,bandarbeyla,9.4942,50.8122,86.02,55,81,22.5,SO,1622007330
221,kieta,-6.2167,155.6333,80.4,85,100,4.43,PG,1622007330
222,gornopravdinsk,60.05,69.9,56.34,87,100,12.06,RU,1622007330
223,yomitan,,,,,,,,
224,manggar,-2.8833,108.2667,86.95,68,51,10.71,ID,1622007331
225,show low,34.2542,-110.0298,59.68,10,1,10.36,US,1622007200
226,luwuk,-0.9516,122.7875,86.4,65,23,7.4,ID,1622007331
227,gravdal,68.1214,13.5031,46.08,65,0,19.57,NO,1622007331
228,san cristobal,7.7669,-72.225,65.89,98,97,3.53,VE,1622007332
229,broome,42.2506,-75.833,68.45,82,1,4,US,1622007332
230,teberda,43.4456,41.7448,52.52,80,96,3.98,RU,1622007332
231,brae,60.3964,-1.353,48.11,84,100,20.83,GB,1622007333
232,krasnoselkup,65.7,82.4667,40.8,38,17,7.74,RU,1622007333
233,concepcion del uruguay,-32.4825,-58.2372,46.98,91,1,2.75,AR,1622007333
234,zhigansk,66.7697,123.3711,59.38,48,100,4.25,RU,1622007334
235,noumea,-22.2763,166.4572,73.38,59,25,5.19,NC,1622007334
236,perigueux,45.1833,0.7167,47.77,89,9,2.98,FR,1622007334
237,vanavara,60.34,102.2797,40.89,48,100,5.73,RU,1622007335
238,sarangani,5.4033,125.4636,83.39,76,100,12.73,PH,1622007335
239,whitehorse,60.7161,-135.0538,49.01,61,75,6.91,CA,1622007337
240,elizabeth city,36.2946,-76.2511,73.45,93,40,6.91,US,1622007337
241,yenagoa,4.9247,6.2642,77,94,100,3.29,NG,1622007338
242,bedele,8.456,36.353,64.49,80,42,2.66,ET,1622007338
243,la ronge,55.1001,-105.2842,35.85,51,1,6.91,CA,1622007339
244,bambous virieux,-20.3428,57.7575,79.21,94,40,9.1,MU,1622007339
245,kirakira,-10.4544,161.9205,79.93,73,99,10.96,SB,1622007339
246,amderma,,,,,,,,
247,gainesville,29.6516,-82.3248,74.08,72,1,9.22,US,1622007102
248,srednekolymsk,67.45,153.6833,60.42,41,84,18.5,RU,1622007340
249,san isidro,-12.1167,-77.05,64.26,75,75,2.84,PE,1622007340
250,broken hill,-31.95,141.4333,60.51,39,75,16.11,AU,1622007341
251,kamen-rybolov,44.7481,132.0403,63.88,41,92,11.7,RU,1622007341
252,maniitsoq,65.4167,-52.9,34.72,66,41,10.96,GL,1622007341
253,new norfolk,-42.7826,147.0587,54.9,50,86,4,AU,1622007342
254,talnakh,69.4865,88.3972,29.48,81,61,12.91,RU,1622007342
255,andenes,69.3143,16.1194,44.08,70,20,25.32,NO,1622007342
256,wahran,,,,,,,,
257,lubango,-14.9172,13.4925,53.08,54,0,3.47,AO,1622007343
258,sao luis do quitunde,-9.3183,-35.5611,74.64,87,20,7.38,BR,1622007343
259,te anau,-45.4167,167.7167,42.57,88,42,3.2,NZ,1622007343
260,chuy,-33.6971,-53.4616,45.43,78,5,5.64,UY,1622007344
261,okhotsk,59.3833,143.3,52.12,45,89,6.02,RU,1622007344
262,dunedin,-45.8742,170.5036,49.8,61,40,11.01,NZ,1622007122
263,waipawa,-41.4122,175.5153,50.63,86,24,6.51,NZ,1622007344
264,black river,18.0264,-77.8487,80.6,87,45,3.87,JM,1622007345
265,geraldton,-28.7667,114.6,73.13,28,100,14.9,AU,1622007263
266,aurillac,44.9167,2.45,43.02,93,19,3.44,FR,1622007345
267,neiafu,-18.65,-173.9833,72.28,94,75,0,TO,1622007346
268,krabi,8.0726,98.9105,89.8,70,40,3.44,TH,1622007301
269,cam pha,,,,,,,,
270,davila,18.4726,120.5763,91.38,67,9,10.54,PH,1622007346
271,east wenatchee bench,47.4257,-120.2812,57.36,72,46,7.74,US,1622007346
272,nanortalik,60.1432,-45.2371,33.94,85,84,9.04,GL,1622007347
273,hambantota,6.1241,81.1185,89.94,66,20,25.14,LK,1622007347
274,sawtell,-30.3833,153.1,73.42,60,53,6.91,AU,1622007347
275,severo-yeniseyskiy,60.3725,93.0408,42.84,37,54,11.81,RU,1622007348
276,marawi,7.9986,124.2928,75.65,77,95,0.51,PH,1622007348
277,dikson,73.5069,80.5464,28.27,78,28,11.65,RU,1622007348
278,awjilah,29.1081,21.2869,85.08,13,0,2.77,LY,1622007349
279,nushki,29.5542,66.0215,91.78,8,0,10.33,PK,1622007349
280,georgetown,5.4112,100.3354,89.55,70,20,5.01,MY,1622007349
281,beringovskiy,63.05,179.3167,32.49,98,100,7.23,RU,1622007349
282,tumannyy,,,,,,,,
283,remanso,-9.6179,-42.0831,72.7,63,11,11.9,BR,1622007350
284,ketchikan,55.3422,-131.6461,48.67,76,75,11.5,US,1622007254
285,dasoguz,41.8363,59.9666,94.95,15,0,8.84,TM,1622007350
286,port lincoln,-34.7333,135.8667,59.56,56,99,11.05,AU,1622007351
287,caconda,-13.7333,15.0667,50.77,63,5,4.63,AO,1622007351
288,bethel,41.3712,-73.414,64.42,86,1,3.44,US,1622007352
289,yining,29.0361,114.5636,71.76,98,100,4.29,CN,1622007352
290,dalnerechensk,45.9339,133.7225,64.56,42,49,15.35,RU,1622007352
291,mount isa,-20.7333,139.5,82.17,28,6,14.97,AU,1622007353
292,provideniya,64.3833,-173.3,46.51,61,0,24.61,RU,1622007353
293,tanete,-3.9443,119.7848,89.26,54,99,11.39,ID,1622007353
294,karauzyak,,,,,,,,
295,cabo san lucas,22.8909,-109.9124,78.62,59,80,14.97,MX,1622007354
296,taphan hin,16.2209,100.4198,91.51,51,93,4,TH,1622007354
297,mocambique,,,,,,,,
298,brooks,50.5834,-111.8851,48.83,81,96,11.5,CA,1622007354
299,ampere,-25.915,-53.4728,49.28,60,7,2.51,BR,1622007355
300,vardo,70.3705,31.1107,39.4,66,54,8.48,NO,1622007355
301,akdepe,42.0551,59.3788,95.09,17,9,8.48,TM,1622007356
302,khandbari,27.3747,87.2039,75.42,78,98,1.92,NP,1622007356
303,liaozhong,41.5061,122.7242,55.89,39,100,11.43,CN,1622007357
304,tabas,33.5959,56.9244,96.4,11,2,9.04,IR,1622007357
305,pangody,65.85,74.4859,43.66,59,100,7.99,RU,1622007358
306,uray,60.1247,64.7758,52.7,94,100,12.84,RU,1622007358
307,yarkovo,57.4028,67.0786,78.66,40,47,11.16,RU,1622007359
308,santa cruz do sul,-29.7175,-52.4258,44.98,89,0,1.9,BR,1622007359
309,kailua,21.4022,-157.7394,80.02,77,75,4.61,US,1622007177
310,narsaq,60.9167,-46.05,34.02,76,81,1.59,GL,1622007360
311,diffa,13.3154,12.6113,85.35,14,23,8.08,NE,1622007360
312,ayan,56.45,138.1667,41.77,67,96,11.41,RU,1622007360
313,tommot,58.9564,126.2925,60.24,44,100,4.88,RU,1622007361
314,dayong,25.0209,118.2898,87.48,52,99,9.28,CN,1622007361
315,baneh,35.9975,45.8853,65.53,47,6,3.87,IR,1622007242
316,bonavista,48.6499,-53.1147,46.11,95,100,16.8,CA,1622007362
317,mount gambier,-37.8333,140.7667,57.11,67,77,17.27,AU,1622007362
318,opuwo,-18.0607,13.84,55.74,46,0,7.07,NA,1622007362
319,faya,18.3851,42.4509,75.31,21,9,13.51,SA,1622007363
320,maumere,-8.6199,122.2111,84.79,64,33,3.15,ID,1622007363
321,little current,45.9793,-81.9248,66.29,98,60,9.33,CA,1622007363
322,armacao dos buzios,,,,,,,,
323,nikolskoye,59.7035,30.7861,52.39,71,96,9.71,RU,1622007364
324,whitefish,48.4111,-114.3376,50.9,90,1,3.96,US,1622007364
325,iqaluit,63.7506,-68.5145,26.33,86,90,8.99,CA,1622007365
326,iskateley,67.6803,53.1512,39.31,43,44,10.85,RU,1622007365
327,iki-burul,45.8208,44.6472,66.54,65,96,9.37,RU,1622007365
328,ritchie,-29.038,24.6028,38.41,51,1,6.35,ZA,1622007365
329,leningradskiy,69.3833,178.4167,35.73,85,29,10.85,RU,1622007366
330,huilong,31.8111,121.655,69.04,93,100,18.72,CN,1622007366
331,sjenica,43.2731,19.9994,47.95,89,100,3.71,RS,1622007366
332,marshall,34.3834,-86.3333,73.71,67,1,3.18,US,1622007367
333,acapulco,16.8634,-99.8901,81.03,62,85,4.68,MX,1622007163
334,rafsanjan,30.4067,55.9939,88.83,10,7,13.94,IR,1622007367
335,pampa,35.5362,-100.9599,74.35,78,1,11.5,US,1622007368
336,henties bay,-22.116,14.2845,71.71,41,0,11.14,NA,1622007368
337,ekhabi,53.5102,142.9671,42.49,63,100,8.12,RU,1622007368
338,gazli,40.1333,63.45,95.94,10,1,8.63,UZ,1622007369
339,badajoz,38.6667,-6.1667,60.75,61,83,3.89,ES,1622007369
340,pak phanang,8.3511,100.202,93.04,60,100,2.01,TH,1622007369
341,myitkyina,25.3833,97.4,88.48,68,82,0.45,MM,1622007370
342,sosva,59.1766,61.8558,50.32,90,100,8.01,RU,1622007370
343,fagernes,60.9858,9.2324,44.91,93,100,7,NO,1622007371
344,kungurtug,50.5994,97.5228,48.04,87,100,7.09,RU,1622007371
345,norman wells,65.282,-126.8329,53.64,35,75,9.22,CA,1622007371
346,cairns,-16.9167,145.7667,76.1,80,75,13.8,AU,1622007372
347,carballo,43.213,-8.691,53.87,93,85,2.86,ES,1622007372
348,araouane,18.9048,-3.5265,91.4,25,100,8.81,ML,1622007372
349,teguise,29.0605,-13.564,61.02,63,20,18.16,ES,1622007373
350,maroantsetra,-15.4333,49.7333,74.05,71,23,0.74,MG,1622007373
351,sistranda,63.7256,8.834,57.16,81,25,13.65,NO,1622007373
352,marcona,,,,,,,,
353,santa marta,11.2408,-74.199,83.98,72,100,20,CO,1622007374
354,boende,-0.2167,20.8667,77.09,71,38,2.57,CD,1622007374
355,port hardy,50.6996,-127.4199,48.38,87,90,5.75,CA,1622007375
356,port hawkesbury,45.6169,-61.3485,52.59,92,90,9.22,CA,1622007375
357,mehamn,71.0357,27.8492,37.31,86,90,3.44,NO,1622007376
358,itamaraca,-7.7478,-34.8256,78.85,84,10,10.83,BR,1622007376
359,sosnovo,60.5514,30.2144,51.98,73,98,13,RU,1622007376
360,nefteyugansk,61.0998,72.6035,53.85,61,96,9.1,RU,1622007377
361,betafo,-19.8333,46.85,63.37,53,0,0.63,MG,1622007378
362,amapa,1,-52,71.46,99,91,0.54,BR,1622007378
363,jabiru,,,,,,,,
364,mazatlan,23.2167,-106.4167,79.92,86,1,1.99,MX,1622007377
365,port augusta,-32.5,137.7667,60.94,51,97,14.07,AU,1622007379
366,ryotsu,38.0833,138.4333,66.16,69,90,10.07,JP,1622007380
367,snyder,32.7179,-100.9176,75.52,64,1,8.05,US,1622007380
368,buala,-8.145,159.5921,81.57,80,100,10,SB,1622007380
369,oistins,13.0667,-59.5333,78.89,65,20,18.41,BB,1622007381
370,general roca,-39.0333,-67.5833,41.4,56,97,11.27,AR,1622007381
371,arman,59.7,150.1667,41.25,80,100,3.4,RU,1622007381
372,sinkat,,,,,,,,
373,sitka,57.0531,-135.33,48.09,81,90,9.22,US,1622007317
374,gorontalo,0.5412,123.0595,87.73,63,46,4.9,ID,1622007382
375,hasaki,35.7333,140.8333,79.29,54,100,10.33,JP,1622007382
376,port hedland,-20.3167,118.5667,80.65,29,40,17.27,AU,1622007382
377,mareeba,-17,145.4333,71.47,90,85,6.69,AU,1622007383
378,hualmay,-11.0964,-77.6139,64.06,91,37,4.5,PE,1622007383
379,atar,20.5169,-13.0499,78.24,26,15,10.94,MR,1622007383
380,palabuhanratu,,,,,,,,
381,fuling,29.7022,107.3919,64.8,95,100,1.72,CN,1622007384
382,sentyabrskiy,,,,,,,,
383,vaitupu,,,,,,,,
384,blagoyevo,63.3667,47.9167,38.39,74,100,8.23,RU,1622007384
385,jalu,29.0331,21.5482,85.41,10,0,0.16,LY,1622007384
386,trelew,-43.249,-65.3051,45.19,65,100,1.57,AR,1622007385
387,nova olimpia,-14.7972,-57.2881,69.85,74,29,1.74,BR,1622007385
388,novorzhev,57.0294,29.3338,58.93,77,100,12.71,RU,1622007385
389,quelimane,-17.8786,36.8883,60.75,100,20,2.3,MZ,1622007125
